uuid;timestamp;agent;source;type;igs_timestamp;value
4cc16500-0120-11f1-b2eb-d921f42ba690;1770155366.353;Cognitive_Model;start;4;;true
4cc77f80-0120-11f1-b2eb-d921f42ba690;1770155366.393;Cognitive_Model;production_selected;3;;get-where-should-i-look-next
4cc7cda0-0120-11f1-b2eb-d921f42ba690;1770155366.395;Shared Interface;countdown_complete;5;;
4cc7cda1-0120-11f1-b2eb-d921f42ba690;1770155366.395;TARS Agent;request_takeoff_clearance;5;;
4cc7cda2-0120-11f1-b2eb-d921f42ba690;1770155366.395;Shared Interface;countdown_complete;5;;
4cc7cda3-0120-11f1-b2eb-d921f42ba690;1770155366.395;TARS Agent;current_state;3;;"{""procedure"": ""BEFORE TAKEOFF"", ""classification"": ""NORM"", ""type"": ""Checklist"", ""category"": ""Switch / Lever"", ""task_object"": ""Takeoff clearance"", ""value"": ""CONFIRM"", ""human_role"": ""performer"", ""autonomy_role"": """", ""information_requirement"": ""ATC clearance status, checklist completion status."", ""interaction"": """", ""delay_before_action"": 0.0, ""delay_after_action"": 0.0, ""callout"": ""Cessna Charlie Papa Oscar Lima Yankee cleared for takeoff, will maintain runway heading, climb to 5000ft proceed direct AGMEB then OMEKI"", ""condition"": null, ""condition_type"": null, ""condition_function"": null, ""monitor_scope"": null}"
4cc7cda4-0120-11f1-b2eb-d921f42ba690;1770155366.395;TARS Agent;current_procedure;3;;BEFORE TAKEOFF
4cc7f4b0-0120-11f1-b2eb-d921f42ba690;1770155366.395;TARS Agent;interaction_message;3;;
4cc7f4b1-0120-11f1-b2eb-d921f42ba690;1770155366.395;TARS Agent;current_task_object;3;;Takeoff clearance
4cc7f4b2-0120-11f1-b2eb-d921f42ba690;1770155366.395;TARS Agent;current_task_value;3;;CONFIRM
4cc7f4b3-0120-11f1-b2eb-d921f42ba690;1770155366.395;TARS Agent;current_task_autonomy_role;3;;
4cc7f4b4-0120-11f1-b2eb-d921f42ba690;1770155366.395;TARS Agent;current_task_human_role;3;;performer
4cc7f4b5-0120-11f1-b2eb-d921f42ba690;1770155366.395;TARS Agent;next_state;3;;"{""procedure"": ""BEFORE TAKEOFF"", ""classification"": ""NORM"", ""type"": ""Checklist"", ""category"": ""Switch / Lever"", ""task_object"": ""Pitot-Static Switch"", ""value"": ""PITOT-STATIC"", ""human_role"": ""performer"", ""autonomy_role"": """", ""information_requirement"": ""Pitot-static switch status"", ""interaction"": ""pitot_static_switch"", ""delay_before_action"": 0.0, ""delay_after_action"": 0.0, ""callout"": """", ""condition"": null, ""condition_type"": null, ""condition_function"": null, ""monitor_scope"": null}"
4cc7f4b6-0120-11f1-b2eb-d921f42ba690;1770155366.395;TARS Agent;countdown_next;1;;false
4cc7f4b7-0120-11f1-b2eb-d921f42ba690;1770155366.396;TARS Agent;countdown_max_next;1;;false
4cc7f4b8-0120-11f1-b2eb-d921f42ba690;1770155366.396;TARS Agent;action_about_to_fire;3;;"{""procedure"": ""BEFORE TAKEOFF"", ""classification"": ""NORM"", ""type"": ""Checklist"", ""category"": ""Switch / Lever"", ""task_object"": ""Takeoff clearance"", ""value"": ""CONFIRM"", ""human_role"": ""performer"", ""autonomy_role"": """", ""information_requirement"": ""ATC clearance status, checklist completion status."", ""interaction"": """", ""delay_before_action"": 0.0, ""delay_after_action"": 0.0, ""callout"": ""Cessna Charlie Papa Oscar Lima Yankee cleared for takeoff, will maintain runway heading, climb to 5000ft proceed direct AGMEB then OMEKI"", ""condition"": null, ""condition_type"": null, ""condition_function"": null, ""monitor_scope"": null}"
4cc7f4b9-0120-11f1-b2eb-d921f42ba690;1770155366.396;ATC_Agent;speech_output;3;;C-POLY, Montreal-Tower, wind-0-9-0-at-4, cleared-for-takeoff runway-zero-six-left. Climb-to-5000ft.
4cc7f4ba-0120-11f1-b2eb-d921f42ba690;1770155366.396;ATC_Agent;is_speaking;4;;true
4cc90620-0120-11f1-b2eb-d921f42ba690;1770155366.402;Cognitive_Model;production_selected;3;;attend-to-next-aoi
